,wifi_a,wifi_b,count,distance,meanTime,maxSpeed
2,34660.0,120.0,13.0,78.96,2.3846153846153846,157.92
3,53703.0,120.0,5.0,90.35,4.8,45.175
4,34660.0,32.0,3.0,72.88,7.333333333333333,36.44
5,53703.0,84.0,2.0,90.5,13.0,181.0
6,32.0,53703.0,3.0,106.24,4.0,53.12
7,53703.0,13.0,6.0,58.25,17.5,116.5
8,53703.0,92.0,4.0,158.11,4.75,158.11
0,80412.0,5.0,4.0,80.82,3332.75,40.41
0,101.0,5.0,3.0,82.63,5049.666666666667,0.13545901639344263
1,5.0,84.0,1.0,58.5,2817.0,0.020766773162939296
2,84.0,22.0,1.0,146.05,1713.0,0.08525977816695855
3,22.0,101.0,1.0,174.47,2831.0,0.06162839985870717
4,101.0,95.0,2.0,90.35,461.5,0.30217391304347824
0,84.0,5.0,2.0,58.5,897.5,0.37261146496815284
1,5.0,13.0,1.0,114.24,2.0,57.12
2,13.0,22.0,1.0,223.94,3.0,74.64666666666666
3,22.0,99.0,2.0,64.39,5.0,12.878
4,99.0,5.0,4.0,59.06,4.75,19.686666666666667
5,5.0,22.0,1.0,121.22,5.0,24.244
0,95.0,5.0,6.0,39.38,1598.8333333333333,39.38
