wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
17795,359.0,145.0,92:70694,2_virtual,373.073125,154.252225,91642:37740:65394:35744:,1
45923,322.0,109.0,92:72974,2_virtual,367.823512,93.376079,94319:97279:27099:49173:,1
50627,131.0,86.0,54272:96,2_virtual,130.790511,90.706729,N,1
48455,277.0,217.0,71721:59163:78028,2_virtual,276.953019,219.280629,33999:24324:15985:,1
31912,200.0,139.0,18641:105,2_virtual,196.093096,143.678037,4475:,1
67169,202.0,136.0,105:79123,2_virtual,195.118954,131.074943,87533:17274:45006:51313:77177:88257:,1
49024,250.0,194.0,23449:84,2_virtual,247.361031,193.392151,8114:75226:31129:86518:7763:31106:87986:87986:,1
30645,379.0,188.0,13:75646,2_virtual,370.982585,196.327759,27970:85035:,1
18157,287.0,252.0,101:64102,2_virtual,289.092492,249.827612,N,1
77272,280.0,231.0,50132:84,2_virtual,277.164871,234.213182,45559:,1
34021,254.0,201.0,32:71721,2_virtual,250.817193,201.830667,42541:43106:,1
46615,220.0,162.0,105:32446,2_virtual,217.627093,164.496124,75085:,1
88562,240.0,205.0,66880:84,3_virtual,242.978708,197.780834,N,1
98393,206.0,164.0,105:2266,3_virtual,206.892895,165.973307,N,1
32179,200.0,156.0,105:19373,3_virtual,204.429543,152.014483,N,1
87703,327.0,121.0,10402:92,3_virtual,374.253031,113.458403,29800:43324:69115:67920:,1
67916,352.0,139.0,76636:92,3_virtual,356.323282,163.797879,25549:64698:25424:81294:37992:77701:66767:28091:,1
39216,268.0,147.0,28385:22,3_virtual,269.222541,140.679926,59780:54326:71140:,1
43270,252.0,123.0,105:91642,3_virtual,243.600032,117.70873,73993:52783:91953:,1
34135,243.0,188.0,41018:84,3_virtual,240.375874,190.296456,96613:24648:,1
2499,349.0,132.0,92:8814,3_virtual,376.783581,117.837657,N,1
51332,203.0,140.0,94129:105,3_virtual,198.726035,146.310976,55875:,1
98239,263.0,210.0,84:63110,3_virtual,261.235835,210.021317,20358:54215:,1
